,freqs,usess,value
285,"960,00 – 1164,00",5.328AA,1
286,"960,00 – 1164,00",ECA36,1
287,"1164,00 – 1215,00","RADIONAVIGAŢIE
AERONAUTICĂ  5.328",1
288,"1164,00 – 1215,00","RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B",1
289,"1164,00 – 1215,00",5.328A,1
290,"1164,00 – 1215,00",ECA36,1
291,"1215,00 – 1240,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",1
292,"1215,00 – 1240,00","RADIOLOCAŢIE
RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B  5.329 5.329A",1
293,"1215,00 – 1240,00",CERCETARE SPAŢIALĂ (activ),1
294,"1215,00 – 1240,00","5.331  5.332
ECA36",1
295,"1240,00 – 1300,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",1
296,"1240,00 – 1300,00","RADIOLOCAŢIE
RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B  5.329 5.329A
CERCETARE SPAŢIALĂ (activ)",1
297,"1240,00 – 1300,00","Amator
Amator prin satelit",1
298,"1240,00 – 1300,00","5.282  5.331  5.332  5.335A
ECA36",1
299,"1300,00 – 1350,00","RADIONAVIGAŢIE
AERONAUTICĂ  5.337",1
300,"1300,00 – 1350,00",RADIOLOCAŢIE,1
301,"1300,00 – 1350,00","RADIONAVIGAŢIE PRIN
SATELIT (Pământ–spaţiu)",1
302,"1300,00 – 1350,00",5.149  5.337A,1
303,"1300,00 – 1350,00",ECA36,1
304,"1350,00 – 1362,50","FIX MOBIL
RADIOLOCAŢIE
5.149  5.338  5.338A 5.339",1
305,"1362,50 – 1400,00","FIX
MOBIL",1
306,"1362,50 – 1400,00",RADIOLOCAŢIE,1
307,"1362,50 – 1400,00",5.149  5.338  5.338A  5.339,1
308,"1362,50 – 1400,00",ECA36,1
309,"1400,00 – 1427,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",1
310,"1400,00 – 1427,00",5.340  5.341,1
311,"1427,00 – 1429,00",FIX,1
312,"1427,00 – 1429,00","MOBIL cu excepţia mobil
aeronautic
EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu)",1
313,"1427,00 – 1429,00",5.338A  5.341,1
314,"1427,00 – 1429,00",ECA36,1
315,"1429,00 – 1452,00","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A
5.338A  5.341",1
316,"1429,00 – 1452,00",ECA36,1
317,"1452,00 – 1492,00",MOBIL cu excepţia mobil,1
318,"1452,00 – 1492,00","aeronautic
5.341",1
319,"1492,00 – 1504,50","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A 5.341",1
320,"1504,50 – 1518,00","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A
5.341",1
321,"1504,50 – 1518,00",ECA36,1
322,"1518,00 – 1525,00","FIX
MOBIL cu excepţia mobil
aeronautic
MOBIL PRIN SATELIT (spaţiu – Pământ)  5.348  5.348A  5.348B 5.351A",1
