"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
"32,30 – 33,00","FIX 5.547A
INTERSATELIŢI RADIONAVIGAŢIE
5.547 5.547D 5.548","FIX 5.547A
INTERSATELIŢI RADIONAVIGAŢIE
5.547  5.548",,"Linii fixe (aplicaţii de densitate mare)
FWA (punct la punct şi punct–
multipunct)",,,"ERC/REC/(01)02 EN 302 217
ECC/REC/(11)01 EN 302 326",,NG,
,,,,,,,,,,
,,,,,,,,,,
"33,00 – 33,40","FIX 5.547A
RADIONAVIGAŢIE
5.547V 5.547E","FIX 5.547A
INTERSATELIŢI RADIONAVIGAŢIE
5.547",,"Linii fixe (aplicaţii de densitate mare)
FWA (punct la punct şi punct–
multipunct)",,,"ERC/REC/(01)02 EN 302 217
ECC/REC/(11)01 EN 302 326",,NG,
"33,40 – 34,20",RADIOLOCAŢIE 5.549,"RADIOLOCAŢIE
ECA36",,"Aplicaţii de radiodeterminare (pentru
supraveghere şi măsurări)
Radiolocație (militară)",,,,,G(A)/NG,
"34,20 – 34,70","RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat)(Pământ–spaţiu)
5.549","RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (Pământ–spaţiu)
ECA36",,"Aplicaţii de radiodeterminare (pentru
supraveghere şi măsurări) Radiolocație (militară)",,,,,G(A)/NG,
"34,70 – 35,20","RADIOLOCAŢIE
Cercetare spaţială  5.550
5.549","RADIOLOCAŢIE
Cercetare spaţială
ECA36",,"Aplicaţii de radiodeterminare (pentru supraveghere şi măsurări)
Radiolocație (militară)",,,,,G(A)/NG,
"35,20 – 35,50","AUXILIAR METEOROLOGIC RADIOLOCAŢIE
5.549","AUXILIAR METEOROLOGIC
RADIOLOCAŢIE
ECA36",,"Senzori activi (la bordul satelitţilor) (radar pentru măsurarea nivelului de precipitaţii din satelit)
Radiolocație (militară)",,,,,G(A)/NG,
"35,50 – 36,00","AUXILIAR METEOROLOGIC
EXPLORAREA PĂMÂNTULUI PRIN SATELIT (activ)
RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (activ)
5.549  5.549A","AUXILIAR METEOROLOGIC
EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)
RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (activ)
5.549A ECA36",,Senzori activi (la bordul satelitţilor) Radiolocație (militară),,,,,G(A)/NG,
,,,,,,,,,,
,,,,,,,,,,
"36,00 – 37,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv),,"Senzori pasivi (la bordul satelitţilor) (măsurarea emisivităţii de suprafaţă, a zăpezii, a gheţii pe mare şi a precipitaţiilor)
Radioastronomie (în banda 36,43– 36,50 GHz) (observaţii ale liniilor spectrale (liniile corespunzătoare pentru cianura de hidrogen şi pentru hidroxil))
Sisteme militare",,,,,G(A)/NG,
,FIX,FIX,,,,,,,,
,MOBIL,MOBIL,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,,Radioastronomie,,,,,,,,
,5.149  5.550A,,,,,,,,,
,,5.149  5.550A,,,,,,,,
"37,00 – 37,50","FIX
MOBIL cu excepția mobil aeronautic","FIX
EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)",,Linii fixe (aplicaţii de densitate mare) (utilizare principală pentru aplicaţii civile în serviciul fix),,,"T/R 12–01
EN 302 217",,G(A)/NG,
,"EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)",5.547,,Sisteme militare,,,,,,
,5.547,,,,,,,,,
"37,50 – 37,618","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,"Linii fixe (aplicaţii de densitate mare) (utilizare principală pentru aplicaţii civile în serviciul fix)
Stații de sol în serviciul fix prin satelit (staţii de sol necoordonate fără a cere protecţie de la serviciul fix)
Sisteme militare",,,"T/R 12–01
EN 302 217",,G(A)/NG,
,"MOBIL cu excepția mobil
aeronautic","CERCETARE SPAŢIALĂ
(spaţiu–Pământ)",,,,,ERC/DEC/(00)02,,,
,"CERCETARE SPAŢIALĂ
(spaţiu–Pământ)",Explorarea Pământului prin satelit (spaţiu–Pământ),,,,,,,,
,Explorarea Pământului prin satelit (spaţiu–Pământ),5.547,,,,,,,,
,5.547,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"37,618 – 38,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,"Linii fixe (aplicaţii de densitate mare) (utilizare principală pentru aplicaţii civile în serviciul fix)
Stații de sol în serviciul fix prin satelit (staţii de sol necoordonate fără a cere protecţie de la serviciul fix)",,,"T/R 12–01
EN 302 217",,NG,
,"MOBIL cu excepția mobil
aeronautic","CERCETARE SPAŢIALĂ
(spaţiu–Pământ)",,,,,ERC/DEC/(00)02,,,
,"CERCETARE SPAŢIALĂ
(spaţiu–Pământ)",Explorarea Pământului prin satelit (spaţiu–Pământ),,,,,,,,
,Explorarea Pământului prin satelit (spaţiu–Pământ),5.547,,,,,,,,
,5.547,,,,,,,,,
"38,00 – 38,318","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)
MOBIL
Explorarea Pământului prin satelit (spaţiu–Pământ)
5.547","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,Linii fixe (aplicaţii de densitate mare) (utilizare principală pentru aplicaţii civile în serviciul fix),,,"T/R 12–01
EN 302 217",,NG,
,,"Explorarea Pământului prin
satelit (spaţiu–Pământ)",,Stații de sol în serviciul fix prin satelit (staţii de sol necoordonate fără a cere protecţie de la serviciul fix),,,ERC/DEC/(00)02,,,
,,5.547,,,,,,,,
"38,318 – 38,878","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,Linii fixe (aplicaţii de densitate mare) (utilizare principală pentru aplicaţii civile în serviciul fix),,,"T/R 12–01
EN 302 217",,G(A)/NG,
,"MOBIL
Explorarea Pământului prin satelit (spaţiu–Pământ)",Explorarea Pământului prin satelit (spaţiu–Pământ),,Stații de sol în serviciul fix prin satelit (staţii de sol necoordonate fără a cere protecţie de la serviciul fix),,,ERC/DEC/(00)02,,,
,,5.547,,,,,,,,
,5.547,,,,,,,,,
"38,878 – 39,50","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,Linii fixe (aplicaţii de densitate mare) (utilizare principală pentru aplicaţii civile în serviciul fix),,,"T/R 12–01
EN 302 217",,NG,
,"MOBIL
Explorarea Pământului prin
satelit (spaţiu–Pământ)",Explorarea Pământului prin satelit (spaţiu–Pământ),,Stații de sol în serviciul fix prin satelit (staţii de sol necoordonate fără a cere protecţie de la serviciul fix),,,ERC/DEC/(00)02,,,
,,5.547,,,,,,,,
,5.547,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"39,50 – 40,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.516B MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)
Explorarea Pământului prin
satelit (spaţiu–Pământ)
5.547","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.516B MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)
Explorarea Pământului prin
satelit (spaţiu–Pământ)
5.547",,"Stații de sol în serviciul fix prin satelit
Sisteme prin satelit militare (în condițiile agreate între instituțiile care gestionează spectrul radio la nivel național)",,,ERC/DEC/(00)02,,G(A)/NG,
"40,00 – 40,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.516B MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)
CERCETARE SPAŢIALĂ
(Pământ–spaţiu)
Explorarea Pământului prin satelit (spaţiu–Pământ)",,"Stații de sol în serviciul fix prin satelit
Sisteme prin satelit militare (în condițiile agreate între instituțiile care gestionează spectrul radio la nivel național)",,,ERC/DEC/(00)02,,G(A)/NG,
,FIX,,,,,,,,,
,"FIX PRIN SATELIT (spaţiu–
Pământ) 5.516B",,,,,,,,,
,MOBIL,,,,,,,,,
,"MOBIL PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,,
,"CERCETARE SPAŢIALĂ
(Pământ–spaţiu)",,,,,,,,,
,"Explorarea Pământului prin
satelit (spaţiu–Pământ)",,,,,,,,,
"40,50 – 41,00",RADIODIFUZIUNE,RADIODIFUZIUNE,,"Stații de sol în serviciul fix prin satelit
Linii fixe (sisteme terestre punct-la-
punct și punct-multipunct)
Sisteme multimedia pe suport radio (MWS) (sisteme terestre punct-la- punct și punct-multipunct)",,,"ECC/DEC/(02)04
ERC/DEC/(99)15 ECC/REC(01)04 EN 302 217
EN 302 326
ERC/DEC/(99)15 ECC/REC(01)04 EN 302 217
EN 302 326",,NG,
,RADIODIFUZIUNE PRIN SATELIT,RADIODIFUZIUNE PRIN SATELIT,,,,,,,,
,FIX,FIX,,,,,,,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)",5.547,,,,,,,,
,Mobil,,,,,,,,,
,5.547,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"41,00 – 42,50",RADIODIFUZIUNE,RADIODIFUZIUNE,,"Stații de sol în serviciul fix prin satelit
Linii fixe (sisteme terestre punct-la-
punct și punct-multipunct)
Sisteme multimedia pe suport radio (MWS) (sisteme terestre punct-la- punct și punct-multipunct)",,,"ECC/DEC/(02)04
ERC/DEC/(99)15 ECC/REC(01)04 EN 302 217
EN 302 326
ERC/DEC/(99)15 ECC/REC(01)04 EN 302 217
EN 302 326",,NG,
,RADIODIFUZIUNE PRIN SATELIT,RADIODIFUZIUNE PRIN SATELIT,,,,,,,,
,FIX,FIX,,,,,,,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)",5.547 5.551H 5.51I,,,,,,,,
,Mobil,,,,,,,,,
,5.547 5.551H 5.51I,,,,,,,,,
"42,50 – 43,50",FIX,FIX,,"Stații de sol în serviciul fix prin satelit (prioritate pentru rețele civile)
Linii fixe (sisteme terestre punct-la- punct și punct-multipunct)
Sisteme multimedia pe suport radio (MWS) (sisteme terestre punct-la- punct și punct-multipunct)
Radioastronomie (observarea în domeniul continuu și de linii spectrale (de exemplu, linia monoxidului de siliciu), interferometrie VLBI)",,,"ERC/DEC/(99)15 ECC/REC(01)04 EN 302 217
EN 302 326
ERC/DEC/(99)15 ECC/REC(01)04 EN 302 217
EN 302 326",,NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu) 5.552","FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",,,,,,,,
,MOBIL cu excepţia mobil aeronautic,"MOBIL cu excepţia mobil
aeronautic",,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,5.149  5.547,5.149  5.547,,,,,,,,
"43,50 – 45,50",MOBIL 5.553,MOBIL 5.553,,Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre Sisteme satelitare militare,,,,,G(A)/NG,
,MOBIL PRIN SATELIT,MOBIL PRIN SATELIT,,,,,,,,
,RADIONAVIGAŢIE,Fix prin satelit,,,,,,,,
,"RADIONAVIGAŢIE PRIN
SATELIT",5.554,,,,,,,,
,,ECA36,,,,,,,,
,5.554,,,,,,,,,
"45.50 – 47,00",MOBIL 5.553,MOBIL 5.553,,Aplicaţii militare şi civile viitoare,,,,,G(A)/NG,
,MOBIL PRIN SATELIT,MOBIL PRIN SATELIT,,,,,,,,
,RADIONAVIGAŢIE,RADIONAVIGAŢIE,,,,,,,,
,"RADIONAVIGAŢIE PRIN
SATELIT","RADIONAVIGAŢIE PRIN
SATELIT",,,,,,,,
,5.554,5.554,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"47,00 – 47,20","AMATOR
AMATOR PRIN SATELIT","AMATOR
AMATOR PRIN SATELIT",,"Aplicaţii de amator
Aplicaţii de amator prin satelit",,,,,NG,
"47,20 – 47,50","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",,Legături de conexiune (pentru sateliţi de radiodifuziune operînd în banda de 40 GHz),,,"ERC/REC 25–10
EN 302 064",,NG,
,"MOBIL
5.552A","MOBIL
5.552A",,"Stații de sol în serviciul fix prin satelit (aplicații fixe, prioritate pentru rețele civile)",,,,,,
,,ECA17A,,HAPS,,,,,,
,,,,PMSE (camere fără cordon),,,,,,
"47,50 – 47,90","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552 (spaţiu–Pământ)
5.516B 5.554A MOBIL","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552 (spaţiu–Pământ) 5.516B  5.554A
MOBIL",,"Legături de conexiune (pentru sateliţi de radiodifuziune operînd în banda de 40 GHz)
Stații de sol în serviciul fix prin satelit
(aplicaţii de mare densitate)",,,ECC/DEC/(05)08,,NG,
,,ECA17A,,PMSE (camere fără cordon),,,"ERC/REC 25–10
EN 302 064",,,
"47,90 – 48,20","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",,Legături de conexiune (pentru sateliţi de radiodifuziune operînd în banda de 40 GHz),,,"ERC/REC 25–10
EN 302 064",,NG,
,"MOBIL
5.552A","MOBIL
5.552A",,"Stații de sol în serviciul fix prin satelit (aplicații fixe, prioritate pentru rețele civile)",,,,,,
,,ECA17A,,HAPS,,,,,,
,,,,PMSE (camere fără cordon),,,,,,
,,,,,,,,,,
,,,,,,,,,,
"48,20 – 48,54","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552 (spaţiu–Pământ)
5.516B 5.554A 5.555B MOBIL","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552 (spaţiu–Pământ) 5.516B 5.554A 5.555B
MOBIL",,"Legături de conexiune (pentru sateliţi de radiodifuziune operînd în banda de 40 GHz)
Linii fixe (în banda 48,5–50,2 GHz și
în banda 50,9-52,6 GHz)",,,"ERC/REC 12–11
EN 302 217",,NG,
,,ECA17A,,Stații de sol în serviciul fix prin satelit (aplicaţii de mare densitate),,,ECC/DEC/(05) 08,,,
,,,,PMSE (camere fără cordon),,,"ERC/REC 25–10
EN 302 064",,,
"48,54 – 49,44",FIX,FIX,,"Legături de conexiune în banda 48,5–49,2 GHz (pentru sateliţi de radiodifuziune operînd în banda de 40 GHz)
Linii fixe (în banda 48,5–50,2 GHz și
în banda 50,9-52,6 GHz)
Stații de sol în serviciul fix prin satelit (aplicații fixe, prioritate pentru rețele civile)
PMSE (camere fără cordon)
Radioastronomie (observare de linii spectrale (de exemplu, linia monosulfitului de carbon)",,,,,NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu) 5.552","FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",,,,,,,,
,MOBIL,MOBIL,,,,,,,,
,5.149 5.340 5.555,RADIOASTRONOMIE,,,,,"ERC/REC 12–11
EN 302 217",,,
,,5.149 5.340 5.555,,,,,,,,
,,ECA17A,,,,,,,,
,,,,,,,"ERC/REC 25–10
EN 302 064",,,
"49,44 – 50,20","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A  5.552 (spaţiu– Pământ) 5.516B 5.554A 5.555B
MOBIL","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A  5.552 (spaţiu– Pământ) 5.516B 5.554A 5.555B
MOBIL",,"Linii fixe (în banda 48,5–50,2 GHz și
în banda 50,9-52,6 GHz)
Stații de sol în serviciul fix prin satelit (aplicaţii de mare densitate)",,,"ERC/REC 12–11
EN 302 217
ECC/DEC/(05) 08",,NG,
,,ECA17A,,PMSE (camere fără cordon),,,"ERC/REC 25–10
EN 302 064",,,
,,,,,,,,,,
,,,,,,,,,,
"50,20 – 50,40","EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340",,"Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice; măsurare radio pasivă a suprafeţei terestre; fereastră de referinţă pentru banda 52,6–59,3 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
"50,40 – 51,40","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A MOBIL
Mobil prin satelit (Pământ– spaţiu)","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A
Mobil prin satelit (Pământ– spaţiu)",,"Linii fixe (în banda 48,5–50,2 GHz și
în banda 50,9-52,6 GHz)
Aplicaţii viitoare terestre şi prin satelit",,,"ERC/REC 12–11
EN 302 217",,G(A)/NG,
"51,40 – 52,60","FIX 5.338A MOBIL
5.547 5.556","FIX  5.338A MOBIL
RADIOASTRONOMIE
5.547  5.556",,"Linii fixe (în banda 48,5–50,2 GHz și
în banda 50,9-52,6 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,"ERC/REC 12–11
EN 302 217",,NG,
"52,60 – 54,25","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv) 5.340 5.556","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340  5.556",,"Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice; măsurare radio pasivă a suprafeţei terestre)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
"54,25 – 55,78","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) INTERSATELIŢI  5.556A
CERCETARE SPAŢIALĂ (pasiv)
5.556B","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)",,Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice; măsurare radio pasivă a suprafeţei terestre),,,,,NG,
,,,,,,,,,,
,,,,,,,,,,
"55,78 – 56,90","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv),,"Linii fixe (aplicaţii de mare densitate)
Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice)",,,"ERC/REC 12–12
EN 302 217",,NG,
,FIX 5.557A,FIX 5.557A,,,,,,,,
,INTERSATELIŢI 5.556A,INTERSATELIŢI 5.556A,,,,,,,,
,MOBIL 5.558,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,,
,,5.547 5.558,,,,,,,,
,5.547 5.557,,,,,,,,,
"56,90 – 57,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,"Linii fixe (aplicaţii de mare densitate)
Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice)",,,"ERC/REC 12–12
EN 302 217",,NG,
,FIX,FIX,,,,,,,,
,INTERSATELIŢI 5.558A,INTERSATELIŢI 5.558A,,,,,,,,
,MOBIL 5.558,MOBIL 5.558,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,5.547 5.557,5.547,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"57,00 – 58,20","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,Linii fixe (aplicaţii de mare densitate),,,ECC/REC/(09)01 EN 302 217,,NG,
,"FIX
INTERSATELIŢI 5.556A MOBIL 5.558","FIX
INTERSATELIŢI 5.556A MOBIL 5.558",,Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice),,,,,,
,"CERCETARE SPAŢIALĂ (pasiv)
5.547 5.557","CERCETARE SPAŢIALĂ (pasiv)
5.547",,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,Sisteme de transmisiuni de date de bandă largă (în banda 57–66 GHz conform Deciziei 2009/381/CE şi în banda 57-71 GHz conform Deciziei 2019/1345/UE),,,"ERC/REC 70-03
EN 302 567
Decizia 2009/381/CE (Nota 3)
Decizia 2019/1345/UE (Nota 15)",,,
,,,,SRD nespecifice (în banda 57-64 GHz),,,"ERC/REC 70-03
EN 305 550
Decizia 2010/368/UE (Nota 4)",,,
,,,,,,,,,,
,,,,,,,,,,
"58,20 – 59,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,Linii fixe (aplicaţii de mare densitate),,,ECC/REC/(09)01 EN 302 217,,NG,
,"FIX MOBIL
CERCETARE SPAŢIALĂ (pasiv)","FIX
RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice; măsurare radio pasivă a suprafeţei
terestre)",,,,,,
,5.547 5.556,"5.547 5.556
ECA16 ECA19",,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,Sisteme de transmisiuni de date de bandă largă (în banda 57–66 GHz conform Deciziei 2009/381/CE şi în banda 57-71 GHz conform Deciziei 2019/1345/UE),,,"ERC/REC 70-03
EN 302 567
Decizia 2009/381/CE (Nota 3)
Decizia 2019/1345/UE (Nota 15)",,,
,,,,SRD nespecifice (în banda 57-64 GHz),,,"ERC/REC 70-03
EN 305 550
Decizia 2010/368/UE (Nota 4)",,,
,,,,"Radioastronomie (observații în
domeniul continuu și de linii
spectrale)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"59,00 – 59,30",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv),"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,Linii fixe (aplicaţii de mare densitate),,,ECC/REC/(09)01 EN 302 217,,G(A)/NG,
,"FIX
INTERSATELIŢI 5.556A MOBIL 5.558","FIX
INTERSATELIŢI 5.556A MOBIL 5.558",,"Senzori pasivi (la bordul sateliţilor) (sondarea temperaturii atmosferice; măsurare radio pasivă a suprafeţei
terestre)",,,,,,
,"RADIOLOCAŢIE 5.559
CERCETARE SPAŢIALĂ (pasiv)","RADIOLOCAŢIE 5.559
CERCETARE SPAŢIALĂ (pasiv)
ECA17  ECA 20 ECA36",,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,Sisteme de transmisiuni de date de bandă largă (în banda 57–66 GHz conform Deciziei 2009/381/CE şi în banda 57-71 GHz conform Deciziei 2019/1345/UE),,,"ERC/REC 70-03
EN 302 567
Decizia 2009/381/CE (Nota 3)
Decizia 2019/1345/UE (Nota 15)",,,
,,,,SRD nespecifice (în banda 57-64 GHz),,,"ERC/REC 70-03
EN 305 550
Decizia 2010/368/UE (Nota 4)",,,
,,,,Sisteme militare,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"59,30 – 64,00","FIX
INTERSATELIŢI","FIX
INTERSATELIŢI",,Linii fixe (aplicaţii de mare densitate),,,ECC/REC/(09)01 EN 302 217,,G(A)/NG,
,"MOBIL 5.558
RADIOLOCAŢIE  5.559","MOBIL 5.558
RADIOLOCAŢIE 5.559",,"ISM (în banda 61–61,5 GHz)",,,,,,
,5.138,"5.138
ECA17  ECA 20 ECA36",,SRD nespecifice (în banda 57-64 GHz),,,"ERC/REC 70–03
EN 305 550
Decizia 2010/368/UE (Nota 4)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 57–64 GHz pentru aplicaţii
LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,Sisteme mobile de bandă largă în banda 62-63 GHz (pentru conectare cu IBCN) (pereche cu 65–66 GHz),,,,,,
,,,,Sisteme de transmisiuni de date de bandă largă (în banda 57–66 GHz conform Deciziei 2009/381/CE şi în banda 57-71 GHz conform Deciziei 2019/1345/UE),,,"ERC/REC 70-03
EN 302 567
Decizia 2009/381/CE (Nota 3)
Decizia 2019/1345/UE (Nota 15)",,,
,,,,"Aplicaţii TTT (în banda 63-64 GHz conform Deciziei 2011/829/UE şi în banda 63,72-65,88 GHz conform Deciziei 2019/1345/UE)
(Nota 13)",,,"ECC/DEC/(09)01 ERC/REC 70-03
EN 302 686
Decizia 2011/829/UE (Nota 5)
Decizia 2019/1345/UE (Nota 15)",,,
,,,,Sisteme militare,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"64,00 – 65,00","FIX
INTERSATELIŢI
MOBIL cu excepţia mobil
aeronautic 5.547 5.556","FIX
INTERSATELIŢI",,Linii fixe (aplicaţii de mare densitate),,,ECC/REC(05)02 EN 302 217,,NG,
,,"MOBIL cu excepţia mobil
aeronautic 5.547 5.556",,Sisteme de transmisiuni de date de bandă largă (în banda 57–66 GHz conform Deciziei 2009/381/CE şi în banda 57-71 GHz conform Deciziei 2019/1345/UE),,,"ERC/REC 70-03
EN 302 567
Decizia 2009/381/CE (Nota 3)
Decizia 2019/1345/UE (Nota 15)",,,
,,,,"Aplicaţii TTT (în banda 63,72-65,88 GHz)",,,"ECC/DEC/(09)01 EN 302 686
Decizia 2019/1345/UE (Nota 15)",,,
,,,,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,,
"65,00 – 66,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT",,"Linii fixe (aplicaţii de mare densitate)
Sisteme mobile de bandă largă (pentru conectare cu IBCN) (pereche cu 62–63 GHz)
Sisteme de transmisiuni de date de bandă largă (în banda 57–66 GHz conform Deciziei 2009/381/CE şi în banda 57-71 GHz conform Deciziei 2019/1345/UE)
Aplicaţii TTT (în banda 63,72-65,88 GHz)",,,"ECC/REC(05)02 EN 302 217
ERC/REC 70-03
EN 302 567
Decizia 2009/381/CE (Nota 3)
Decizia 2019/1345/UE (Nota 15)
ECC/DEC/(09)01 EN 302 686
Decizia 2019/1345/UE (Nota 15)",,NG,
,FIX,FIX,,,,,,,,
,INTERSATELIŢI,INTERSATELIŢI,,,,,,,,
