"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
,,,,"VSAT (purtătoarele de densitate mică, inclusiv staţii VSAT şi staţii digitale SNG, sunt încurajate să utilizeze această bandă)",,,,,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"14,25 – 14,30",FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,,Staţii de sol pe aeronave (AES),,,"ECC/DEC/(05)11 EN 302 186
ECC/DEC/(05)10 EN 302 340
ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980
EN 301 427
EN 302 977
ERC/REC 13–03
EN 301 428
EN 301 430
ECC/DEC/(17)04 EN 303 980",,NG,
,"RADIONAVIGAŢIE 5.504
Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.508A
Cercetare spaţială","Mobil prin satelit (Pământ– spaţiu) 5.506A 5.508A
Cercetare spaţială",,"Staţii de sol pe nave (ESV)
Stații de sol în mişcare (ESIM)",,,,,,
,,5.504,,,,,,,,
,5.504A  5.505  5.508,,,,,,,,,
,,,,Stații de sol în serviciul mobil prin satelit (prioritate pentru rețele civile),,,,,,
,,,,VSAT (terminale de tip SNG),,,,,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,,,,
"14,30 – 14,40",FIX,"FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B
Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A",,Staţii de sol pe aeronave (AES),,,"ECC/DEC/(05)11 EN 302 186
ECC/DEC/(05)10 EN 302 340
ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980
EN 302 340
EN 301 427
EN 302 977
ERC/REC 13–03
EN 301 428
EN 301 430
ECC/DEC/(17)04 EN 303 980",,NG,
,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B,,,Staţii de sol pe nave (ESV),,,,,,
,"MOBIL cu excepţia mobil
aeronautic
Mobil prin satelit (Pământ– spaţiu) 5.504B  5.506A  5.509A",,,Stații de sol în mişcare (ESIM),,,,,,
,Radionavigaţie prin satelit,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit,,,,,,
,5.504A,,,Stații de sol în serviciul mobil prin satelit (prioritate pentru reţele civile),,,,,,
,,,,VSAT (terminale de tip SNG),,,,,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"14,40 – 14,466",FIX,FIX,,Linii fixe,,,"UIT-R F.636 EN 302 217
ECC/DEC/(05)11 EN 302 186
ECC/DEC/(05)10 EN 302 340
ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980
EN 302 340
EN 301 427
EN 302 977
ERC/REC 13–03
EN 301 428
EN 301 430
ECC/DEC/(17)04 EN 303 980",,NG,
,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B,,Staţii de sol pe aeronave (AES),,,,,,
,"MOBIL cu excepţia mobil
aeronautic
Mobil prin satelit (Pământ– spaţiu) 5.504B  5.506A  5.509A
Cercetare spaţială (spaţiu– Pământ)","Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A
5.504A",,"Staţii de sol pe nave (ESV)
Stații de sol în mişcare (ESIM)",,,,,,
,5.504A,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit (se coordonează cu liniile fixe),,,,,,
,,,,"Stații de sol în serviciul mobil prin
satelit (prioritate pentru reţele civile)",,,,,,
,,,,VSAT (terminale de tip SNG),,,,,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"14,466 – 14,47",FIX,FIX,,Linii fixe,,,"UIT-R F.636 EN 302 217
ECC/DEC/(05)11 EN 302 186
ECC/DEC/(05)10 EN 302 340
ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980
EN 302 340
EN 301 427
EN 302 977
ERC/REC 13–03
EN 301 428
EN 301 430
ECC/DEC/(17)04 EN 303 980",,G/NG,
