"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984-7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
"1606,50 – 1625,00","FIX
MOBIL TERESTRU","FIX
MOBIL TERESTRU",Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,"EN 303 402
ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)
ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,G(A)/NG,
,MOBIL MARITIM  5.90,"MOBIL MARITIM  5.90
Radiolocație","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,,,,,,
,5.92,,,,,,,,,,
,,ECA36,,,,,,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"1625,00 – 1635,00",RADIOLOCAŢIE,RADIOLOCAŢIE,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)
ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,G(A)/NG,
,5.93,5.93,,,,,,,,,
,,ECA36,,,,,,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
,,,Radiolocație (militară),,,,,,,,
"1635,00 – 1800,00","FIX
MOBIL TERESTRU","FIX
MOBIL TERESTRU",Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,EN 303 402,,,,G(A)/NG,
,MOBIL MARITIM  5.90,MOBIL MARITIM  5.90,,,,,,,,,
,5.92  5.96,"5.96
ECA36","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
"1800,00 – 1810,00",RADIOLOCAŢIE,RADIOLOCAŢIE,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)
ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,G(A)/NG,
,5.93,5.93,,,,,,,,,
,,ECA36,,,,,,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
,,,Radiolocație (militară),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"1810,00 – 1830,00",AMATOR,AMATOR,Amator,,,EN 301 783,,,,G(A)/G/NG,
,5.98  5.99  5.100,"FIX
MOBIL cu excepţia mobil
aeronautic","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,5.98  5.100,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
"1830,00 – 1850,00",AMATOR,AMATOR,Amator,,,EN 301 783,,,,NG,
,5.98  5.99  5.100,5.98 5.100,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
"1850,00 – 2000,00",FIX,FIX,Amator,,,EN 301 783,,,,G(A)/NG,
,"MOBIL cu excepţia mobil
aeronautic","MOBIL cu excepţia mobil
aeronautic",Radiocomunicații maritime,,,EN 303 402,,,,,
,5.92  5.96  5.103,5.92  5.96  5.103,Aplicaţii militare,,,,,,,,
,,ECA36,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"2000,00 – 2025,00",FIX,FIX,Radiocomunicații maritime,,,EN 303 402,,,,G(A)/NG,
,"MOBIL cu excepţia mobil
aeronautic (R)
5.92  5.103","MOBIL cu excepţia mobil
aeronautic (R)
5.103","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,ECA36,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
"2025,00 – 2045,00",FIX,FIX,Radiocomunicații maritime,,,EN 303 402,,,,G(A)/NG,
,"MOBIL cu excepţia mobil
aeronautic (R)
Auxiliar meteorologic  5.104","MOBIL cu excepţia mobil
aeronautic (R)
Auxiliar meteorologic  5.104",Radiobalize oceanografice pentru meteorologie,,,,,,,,
,5.92  5.103,"5.92  5.103
ECA36","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
