"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"146,0000 – 146,8000","FIX
MOBIL cu exceptia mobil aeronautic (R)",MOBIL ECA7,,,"PMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"146,8000 – 148,0000","FIX
MOBIL cu exceptia mobil aeronautic (R)",MOBIL ECA7,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"148,0000 – 149,0000",FIX,"MOBIL
MOBIL PRIN SATELIT (Pamânt-
spațiu)  5.209
5.218
5.219
5.221
ECA6 ECA7",,,"PMR/PAMR de bandă îngustă
ECA7
Sisteme de comunicații personale prin satelit (Sateliţi non- geostaționari)
ECA6","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039
ERC/DEC/(99)06 EN 301 721",,,,NG,
,"MOBIL PRIN SATELIT
(Pamânt-spațiu)  5.209MOBIL cu excepția mobil aeronautic (R)",,,,,,,,,,
,5.218,,,,,,,,,,
,5.219,,,,,,,,,,
,5.221,,,,,,,,,,
"149,0000-149,5500","FIX
MOBIL PRIN SATELIT
(Pamânt-spațiu)  5.209
MOBIL cu excepția mobil
aeronautic (R) 5.218
5.219
5.221","MOBIL
MOBIL PRIN SATELIT (Pamânt-
spatiu)  5.209
5.218
5.219
5.221
ECA6 ECA7",,,"Sisteme de comunicații personale prin satelit (sateliţi non- geostaționari)
ECA6
Sisteme militare","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
"149,5500-149,8000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Sisteme de comunicații
personale prin satelit (sateliţi non-
geostaționari)
ECA6","ERC DEC (99)06
EN 301 721",,,,,
"149,8000-149,9000",,,,,"Sisteme de comunicații personale prin satelit (sateliţi non- geostaționari)
ECA6","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
,,,,,Sisteme militare,,,,,,
"149,9000 – 150,0500","MOBIL PRIN SATELIT
(Pamânt-spațiu)  5.209
5.220","MOBIL
MOBIL PRIN SATELIT (Pământ-
spațiu)  5.209  5.220 ECA6",,,"Sisteme militare
Sisteme de comunicații personale prin satelit (sateliţi non- geostaționari)
ECA6","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"150,0500 – 152,8500","FIX
MOBIL cu excepția mobil aeronautic
RADIOASTRONOMIE 5.149","MOBIL cu excepția mobil aeronautic
RADIOASTRONOMIE 5.149
ECA7",,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"152,8500-152,9500",,,,,"Aplicaţii guvernamentale
PMR /PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G/NG,
"152,9500 - 153,0000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"153,0000 - 153,2500","FIX
MOBIL cu exceptia mobil aeronautic (R)
Auxiliar meteorologic","MOBIL cu excepția mobil aeronautic (R)
ECA7",,,"Aplicaţii guvernamentale
PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G/NG,
"153,2500 – 154,0000",,,,,"PMR/PAMR de bandă îngustă
ECA7",,,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"154,0000 – 154,1000","FIX
MOBIL cu excepția mobil aeronautic (R)
5.225A
5.226","MOBIL cu excepția mobil aeronautic (R)
5.226
ECA7 ECA8",,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"154,1000 - 154,4500",,,,,"Sisteme militare
Aplicaţii guvernamentale
PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/G/NG,
"154,4500 - 154,850",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"154,8500 – 155,1000","FIX
MOBIL cu excepția mobil aeronautic (R)
5.225A
5.226","MOBIL cu excepția mobil aeronautic (R)
5.226
ECA7 ECA8",,,"PMR/PAMR de bandă îngustă
ECA7
Sisteme militare","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"155,1000 – 155,4000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"155,4000 – 155,6000",,,,,"PMR/PAMR de bandă îngustă
ECA7
Sisteme militare","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"155,6000 – 156,0000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"156,0000 –  156,4875",,,,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio al UIT)","EN 300 162,  EN 300 698
EN 301 178,  EN 301 025
EN 301 929",,,,G(A)/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"156,4875 – 156,5125","MOBIL MARITIM (primejdie şi
apel prin DSC) 5.226
5.227","MOBIL MARITIM (primejdie şi apel
prin DSC) 5.226
5.227
ECA7 ECA8",,,Comunicații maritime (Apendicele 18 al Regulamentului Radio al UIT),"EN 300 162
EN 300 698
EN 301 025
EN 301 178
EN 301 929",,,,G(A)/NG,
"156,5125 – 156,5375","MOBIL MARITIM (primejdie şi
apel prin DSC) 5.111
5.226","MOBIL MARITIM (primejdie și
apel) 5.111
5.226",,,"Apel selectiv numeric (DSC) pentru primejdie, siguranță şi apel (156,525 MHz, Apendicele 18 al Regulamentului Radio al
UIT)","EN 301 025
EN 301 929
EN 302 885
EN 303 132",,,,G(A)/NG,
"156,5375 - 156,5625","MOBIL  MARITM ( primejdie şi
apel prin DSC) 5.226
5.227","MOBIL cu excepţia mobil
aeronautic (R)
MOBIL MARITIM (primejdie şi apel
via DSC) 5.226
5.227
ECA7 ECA8",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio al UIT)
ECA7 ECA8","EN 300 162,  EN 300 698
EN 301 178,  EN 301 025
EN 301 929",,,,G(A)/NG,
"156,5625 – 156,7625","FIX
MOBIL cu excepţia mobil aeronautuc (R)
5.226","MOBIL cu excepţia mobil
aeronautic (R) 5.226
ECA7
ECA8",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio al UIT)","EN 300 162, EN 300 698
EN 301 178, EN 301 025
EN 301 929",,,,G(A)/NG,
"156,7625 – 156,7875","MOBIL MARITIM
Mobil prin satelit (Pământ- spațiu)
5.111
5.226
5.228","MOBIL MARITIM (primejdie şi
apel) 5.111
5.226
5.228",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT; sistem de identificare automată (AIS) prin satelit
Pământ – spațiu)",EN 301 929,,,,G(A)/NG,
"156,7875 – 156,8125","MOBIL MARITIM (primejdie şi
apel) 5.111
5.226","MOBIL MARITIM (primejdie şi
apel) 5.111
5.226",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT; primejdie, siguranță și apel, 156,8 MHz pentru serviciul de radiotelefonie mobil maritim VHF)",EN 300 162,,,,G(A)/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"156,8125 – 156,8375","MOBIL MARITIM
Mobil prin satelit (Pământ -
spațiu)
5.111
5.226
5.228","MOBIL MARITIM
Mobil prin satelit (Pământ -spațiu) 5.111
5.226
5.228",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT; sistem de identificare automată (AIS) prin satelit
Pământ – spațiu)",EN 301 929,,,,G(A)/NG,
"156,8375 – 157,4500","FIX
MOBIL cu exceptia mobil aeronautic
5.226","MOBIL cu excepția mobil aeronautic
5.226
ECA7 ECA8",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)
ECA7 ECA8","EN 300 162,  EN 300 698
EN 301 178,  EN 301 025
EN 301 929",,,,NG,
"157,4500 – 159,1750",,,,,Aplicaţii guvernamentale,,,,,G,
"159,1750 – 159,5000",,,,,"Sisteme militare
PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"159,5000 – 160,0000",,,,,Aplicaţii guvernamentale,,,,,G,
"160,0000 – 160,6000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"160,6000 – 160,9750",,,,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)
ECA7 ECA8","EN 300 162,  EN 300 698
EN 301 178,  EN 301 025
EN 301 929",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"160,9750 – 161,1250",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"161,1250 – 161,2750",,,,,"Aplicaţii guvernamentale
Sisteme militare",,,,,G(A)/G,
"161,2750 - 161,4750",,,,,PMR/PAMR ECA7,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"161,4750-161,9375",,,,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)","EN 300 162,  EN 300 698
EN 301 178,  EN 301 025
EN 301 929",,,,NG,
"161,9375 - 161,9625","FIX
MOBIL cu exceptia mobil aeronautic
MOBIL MARITIM PRIN
SATELIT  (Pământ- spațiu)
5.228AA
5.226","MOBIL cu excepția mobil aeronautic
Mobil maritim prin satelit (Pământ- spatiu) 5.228AA
5.226
ECA7 ECA8",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)
ECA7 ECA8","EN 300 162, EN 301 025
EN 300 698, EN 301 178
EN 301 929",,,,NG,
"161,9625 - 161,9875","FIX
MOBIL cu excepția mobil
aeronautic
Mobil prin satelit (Pământ- spațiu) 5.228F
5.226
5.228A
5.228B","MOBIL cu excepția mobil aeronautic
Mobil prin satelit (Pământ-spațiu)
5.228F
5.226
ECA7 ECA8",,,"Sistem de identificare automată la bordul navelor (AIS) (161,975 MHz)
Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)
ECA7 ECA8","EN 303 098
EN 300 162, EN 300 698
EN 301 025, EN 301 178
EN 301 929",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"161,9875 - 162,0125","FIX
MOBIL MARITIM PRIN
SATELIT (Pământ-spațiu) 5.228AA
MOBIL cu excepția mobil
aeronautic 5.226
5.229","MOBIL MARITIM PRIN SATELIT
(Pământ-spațiu) 5.228AA
MOBIL cu excepția mobil
aeronautic 5.226 ECA7 ECA8",,,"Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)
ECA7 ECA8","EN 300 162, EN 300 698
EN 301 025, EN 301 178
EN 301 929",,,,NG,
"162,0125-162,0375","FIX
MOBIL cu excepția mobil
aeronautic
Mobil prin satelit (Pământ- spațiu) 5.228F
5.226
5.228A
5.228B
5.229","MOBIL cu excepția mobil
aeronautic 5.226 ECA7 ECA8",,,"Sistem de identificare automată la bordul navelor (AIS) (162,025 MHz)
Comunicații maritime
(Apendicele 18 al Regulamentului Radio UIT)
EN 300 162, EN 300 698
EN 301 025, EN 301 178
EN 301 929 ECA7
ECA8","EN 303 098
EN 300 162, EN 300 698
EN 301 025, EN 301 178
EN 301 929",,,,NG,
"162,0375-162,0500","FIX
Mobil cu excepția mobil
aeronautic 5.226
5.229","Mobil cu excepția mobil aeronautic
ECA7",,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"162,0500 – 164,0500",,,,,Aplicaţii guvernamentale,,,,,G,
"164,0500 - 164,3000",,,,,"PMR/PAMR de bandă îngustă
ECA7
Sisteme militare","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"164,3000 - 165,2000",,,,,Aplicații guvernamentale,,,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"165,2000 - 165,2250",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"165,2250 – 165,4250",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"165,4250 – 165,7750",,,,,Sisteme militare,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/G/NG,
,,,,,Aplicaţii guvernamentale,,,,,,
,,,,,"PMR/PAMR de bandă îngustă
ECA7",,,,,,
"165,7750 – 167,0000",,,,,Sisteme militare,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A) / NG,
,,,,,"PMR/PAMR de bandă îngustă
ECA7",,,,,,
"167,0000 - 169,4000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"169,4000 - 169,8125","FIX
MOBIL cu excepţia mobil aeronautic
5.226
5.229",MOBIL cu excepția mobil aeronautic,,,"Dispozitive de asistenţă pentru ascultare (ALD) (în benzile 169,400-169,475 MHz şi
169,4875-169,5875 MHz conform
Deciziei 2013/752/UE; în cadrul benzii 169,4-174,0 MHz, cu acord","ECC/DEC/(05)02 ERC/REC 70-03
EN 300 422
Decizia 2013/752/UE (Nota 6)",,,,G / NG,
,,,,,"de frecvenţă, conform ERC/REC",,,,,,
,,,,,70-03),,,,,,
,,,,,Dispozitive pentru citirea la,ECC/DEC/(05)02,,,,,
,,,,,distanţă a contoarelor (în banda,ERC/REC 70-03,,,,,
,,,,,"169,400-169,475 MHz)",EN 300 220,,,,,
,,,,,,Decizia 2013/752/UE,,,,,
,,,,,,(Nota 6),,,,,
,,,,,SRD nespecifice (în benzile,ECC/DEC/(05)02,,,,,
,,,,,"169,400-169,475 MHz, 169,400-",ERC/REC 70-03,,,,,
,,,,,"169,4875 MHz, 169,4875-",EN 300 220,,,,,
,,,,,"169,5875 MHz, 169,5875-",Decizia 2013/752/UE,,,,,
,,,,,"169,8125 MHz)",(Nota 6),,,,,
,,,,,Sisteme paging (existente),,,,,,
,,,,,"(169,6500 MHz, 169,6750 MHz,",,,,,,
,,,,,"169,7000 MHz și 169,7750 MHz)",,,,,,
"169,8125 – 170,0000","FIX
MOBIL cu exceptia mobil aeronautic 5.226
5.229","MOBIL cu exceptia mobil aeronautic
ECA7",,,"Dispozitive de asistenţă pentru ascultare (ALD) (în cadrul benzii 169,4 – 174,0 MHz, cu acord de frecvenţă în bandă)","ERC/REC 70-03
EN 300 422",,,,NG,
,,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"170,0000 - 171,0000",,,,,Sisteme militare,,,,,G(A)/NG,
,,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
,,,,,"Dispozitive de asistenţă pentru ascultare (ALD) (în cadrul benzii 169,4 – 174,0 MHz, cu acord de frecvenţă în bandă)","ERC/REC 70-03
EN 300 422",,,,,
"171,0000 – 171,4000",,,,,PMR/PAMR ECA7,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Dispozitive de asistenţă pentru ascultare (ALD) (în cadrul benzii 169,4 – 174,0 MHz, cu acord de frecvenţă în bandă)","ERC/REC 70-03
EN 300 422",,,,,
"171,4000 – 171,6000",,,,,Sisteme militare,,,,,G(A)NG,
,,,,,PMR/PAMR ECA7,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
,,,,,"Dispozitive de asistenţă pentru ascultare (ALD) (în cadrul benzii 169,4 – 174,0 MHz, cu acord de frecvenţă în bandă)","ERC/REC 70-03
EN 300 422",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"171,6000 - 174,0000",,,,,"Dispozitive de asistenţă pentru ascultare (ALD) (în banda 169,4- 174,0 MHz cu acord de frecvenţă în bandă; în banda 173,965-216 MHz conform Deciziei din 2017,
cu acord de frecvenţă în bandă)","ERC/REC 70-03
EN 300 422
Decizia 2017/1483/UE (Nota 14)",,,,NG,
"174,0000 - 216,0000","RADIODIFUZIUNE 5.235
5.237",RADIODIFUZIUNE,,,"PMSE audio (include radiomicrofoane în banda 174- 216 MHz, cu acord de frecvenţă în bandă)","ERC/REC 25-10
ERC/REC 70-03
EN 300 422",,,,NG,
,,,,,"Dispozitive de asistenţă pentru ascultare (ALD) (cu acord de frecvență în banda 173,965-216 MHz)","ERC/REC 70-03
EN 300 422
Decizia 2017/1483/UE (Nota 14)",,,,,
,,,,,"Acord Geneva 2006. Televiziune
digitală terestră  Radiodifuziune digitală terestră (T-DAB)","EN 302 296
EN 302 077",,,,,
"216,0000 - 223,0000","RADIODIFUZIUNE 5.235
5.237",RADIODIFUZIUNE,,,Acord Geneva 2006 Radiodifuziune digitală terestră (T-DAB),EN 302 077,,,,NG,
"223,0000 - 225,0000","RADIODIFUZIUNE
Fix Mobil",RADIODIFUZIUNE,,,Acord Geneva 2006. Radiodifuziune digitală terestră (T-DAB),EN 302 077,,,,NG,
,5.243,,,,,,,,,,
,5.246,,,,,,,,,,
,5.247,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"225,0000 -230,0000",RADIODIFUZIUNE,RADIODIFUZIUNE,,,"Acord Geneva 2006. Radiodifuziune digitală terestră (T-DAB)
(Această bandă este în gama de acord de frecvenţe pentru uz militar 225-400 MHz; partaj cu apărarea din considerente
naţionale)",EN 302 077,,,,G(A)/NG,
,Fix,Mobil terestru,,,,,,,,,
,Mobil,ECA10,,,,,,,,,
,5.246,ECA 36,,,,,,,,,
,5.247,,,,,,,,,,
"230,0000 - 235,0000","FIX
MOBIL","MOBIL
ECA10",,,"Sisteme militare
(Bandă militară armonizată)",,,,,G(A),
,5.247,ECA36,,,,,,,,,
,5.251,,,,,,,,,,
,5.252,,,,,,,,,,
"235,0000 - 240,0000","FIX
MOBIL","MOBIL
5.254",,,"Sisteme militare
(Bandă militară armonizată)",,,,,G(A),
,5.252,ECA10,,,,,,,,,
,5.254,ECA36,,,,,,,,,
"240,0000 - 242,9500","FIX
MOBIL","MOBIL
5.254",,,"Sisteme militare
(Banda militară armonizată)",EN 302 617,,,,G(A),
,5.111,ECA10,,,,,,,,,
,5.254,ECA36,,,,,,,,,
,5.256,,,,,,,,,,
"242,9500 - 243,0500",FIX,MOBIL AERONAUTIC,,,"EPIRB
(Bandă disponibilă numai pentru primejdie şi siguranţă, 243,0 MHz)",EN 300 152,,,,G(A)/NG,
,MOBIL,,,,,,,,,,
,5.111,"5.111, 5.254, 5.256",,,,,,,,,
,5.254,,,,,,,,,,
,5.256,,,,,,,,,,
"243,0500 - 267,0000","FIX
MOBIL cu excepţia mobil
aeronautic","MOBIL 5.254
ECA10",,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
,"5.111, 5.252, 5.254, 5.256,
5.256A",ECA36,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"267,0000 - 272,0000","FIX MOBIL
Exploatare spațială (spațiu- Pământ)
5.254
5.257","MOBIL 5.254
5.257
ECA10 ECA36",,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
"272,0000 - 273,0000","FIX MOBIL
EXPLOATARE SPAȚIALĂ
(spațiu-Pământ) 5.254",MOBIL 5.254 ECA10 ECA36,,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
"273,0000 - 312,0000",FIX MOBIL 5.254,"MOBIL 5.254 ECA10
ECA36",,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
"312,0000 - 315,0000","FIX MOBIL
Mobil prin satelit (Pământ- spațiu)
5.254, 5.255","MOBIL 5.254, 5.255 ECA10 ECA36",,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
"315,0000 - 322,0000",FIX MOBIL 5.254,"MOBIL 5.254 ECA10
EN 302 617",,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
"322,0000 - 328,6000","FIX MOBIL
RADIOASTRONOMIE 5.149","MOBIL RADIOASTRONOMIE 5.149
ECA10 ECA36",,,"Sisteme militare
(Bandă militară armonizată)
Aplicaţii pentru radioastronomie (Măsurări în domeniul continuu şi linii spectrale, de exemplu: deuteriu; VLBI)",,,,,G(A),
"328,6000 - 335,4000","RADIONAVIGATIE AERONAUTICA
5.258, 5.259","RADIONAVIGATIE AERONAUTICA
5.258",,,ILS/radiofar de panta,,,,,G(A)/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"335,4000 - 380,0000",FIX MOBIL 5.254,MOBIL 5.254 ECA10 ECA36,,,"Sisteme militare
(Bandă militară armonizată)",EN 302 617,,,,G(A),
"380,0000 - 385,0000",FIX MOBIL 5.254,MOBIL ECA10 ECA36,,,"Sisteme de comunicaţii de urgenţă aer-sol-aer (AGA) (în benzile 384,8-385/394,8-395 MHz; benzile 384,750-384,800 MHz si 394,750-394,800 MHz pot
fi utilizate ca benzi preferate de extindere pentru AGA)","ECC/DEC/(06)05 EN 300 113
EN 300 390
ERC/DEC/(01)19 EN 300 113
EN 300 390
EN 301 166
EN 302 561
EN 303 039
ECC/DEC/(08)05 T/R 25-08
EN 300 113
EN 300 390
EN 301 166
EN 302 561
EN 303 039",,,,G,
,,,,,"Sisteme de comunicaţii de urgenţă cu operare în modul direct (DMO)
(benzile 380,0-380,15 / 390,0-
390,15 MHz",,,,,,
,,,,,"PPDR
(380,0-385,0 MHz pentru emisia stației mobile, pereche cu 390,0- 395,0 MHz)",,,,,,
"385,0000 – 387,0000",FIX MOBIL 5.254,MOBIL 5.254 ECA10 ECA36,,,"Sisteme militare
(Bandă militară armonizată)",,,,,G(A),
"387,0000 –390,0000","FIX MOBIL
Mobil prin satelit (spațiu- Pământ) 5.208A  5.208B  5.254 5.255 5.208B",MOBIL ECA10 ECA36,,,"Sisteme militare
(Bandă militară armonizată)",,,,,G(A),
,,,,,,,,,,,
,,,,,,,,,,,
"390,0000 – 395,0000",FIX MOBIL 5.254,MOBIL ECA10 ECA36,,,"PPDR
(Sisteme de comunicaţii de urgenţă aer-sol-aer (AGA) în benzile 384,8-385/394,8-395 MHz benzile 384,750-384,800 MHz / 394,750-394,800 MHz pot fi
utilizate ca benzi preferate de extindere pentru AGA)","ECC/ DEC/(06)05 EN 300 113
EN 300 390",,,,G,
,,,,,"PPDR
(Sisteme de comunicaţii de urgenţă în modul direct de operare (DMO) (în benzile 380,0- 380,15/390,0-390,15 MHz )","ERC/DEC/(01)19 EN 300 113
EN 300 390
EN 301 166
EN 302 561
EN 303 039",,,,,
,,,,,"PPDR
(390-395 MHz pentru emisia stației de bază, pereche cu 380-385 MHz)","ECC/DEC/(08)05 T/R 25-08
EN 300 113
EN 300 390
EN 301 166
EN 302 561
EN 303 039",,,,,
"395,0000 – 399,9000",FIX MOBIL 5.254,MOBIL 5.254 ECA10 ECA36,,,"Sisteme militare
(Bandă militară armonizată)",,,,,G(A),
"399,9000 - 400,0500","MOBIL PRIN SATELIT
(Pamânt-spațiu) 5.209 5.220","MOBIL PRIN SATELIT (Pamânt-
spațiu) 5.209 5.220",,,PPDR,ECC/DEC/(08)05,,,,G(A)/NG,
