"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,"EXPLOATARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,"CERCETARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,Fix,,,,,,,,,,
,Mobil cu excepția mobil aeronautic (R),,,,,,,,,,
,"5.204  5.205  5.206  5.207
5.208",,,,,,,,,,
"137,0250- 137,1750","METEOROLOGIC PRIN
SATELIT (spațiu-Pământ)","METEOROLOGIC PRIN SATELIT
(spațiu-Pământ) MOBIL
MOBIL PRIN SATELIT (spațiu- Pământ) 5.208A  5.208B  5.209
Exploatare spațială (spațiu- Pământ)
Cercetare spațială (spațiu-Pământ)
5.206
5.208
ECA6 ECA36",,,"Sisteme de comunicații personale prin satelit (sateliţi non- geostaționari)
ECA6
Aplicații mobile (Mobil Aeronautic (OR), inclusiv aviație sportivă)
Aplicatii prin satelit pentru meteorologie
Sisteme militare aeronautice Sisteme militare terestre ECA36
Sisteme prin satelit (militare)","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
,"EXPLOATARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,"CERCETARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,Fix,,,,,,,,,,
,Mobil cu excepția mobil aeronautic (R),,,,,,,,,,
,"Mobil prin satelit (spațiu-
Pământ)  5.208A  5.208B  5.209",,,,,,,,,,
,"5.204  5.205  5.206 5.207
5.208",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"137,1750 – 137,8250","METEOROLOGIC PRIN
SATELIT (spațiu-Pământ)","METEOROLOGIC PRIN SATELIT
(spațiu-Pământ) MOBIL
MOBIL PRIN SATELIT (spațiu- Pământ)  5.208A  5.208B  5.209
Exploatare spațială (spațiu- Pământ)
Cercetare spațială (spațiu-Pământ)
5.206
5.208
ECA6 ECA36",,,"Sisteme de comunicații personale prin satelit (sateliţi non- geostaționari)
ECA6
Aplicații mobile (Mobil Aeronautic (OR), inclusiv aviație sportivă)
Sisteme militare aeronautice Sisteme militare terestre ECA36
Sisteme prin satelit (militare)
Aplicatii prin satelit pentru meteorologie","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
,MOBIL PRIN SATELIT (spațiu- Pământ)  5.208A  5.208B  5.209,,,,,,,,,,
